,id,name,pc_00,pc_01,pc_02,pc_03,pc_04,pc_05,pc_06,pc_07,pc_08,pc_09,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24,pc_25,pc_26,pc_27,pc_28,pc_29,pc_30,pc_31,pc_32,pc_33,pc_34,pc_35,pc_36,pc_37,pc_38,pc_39,pc_40,pc_41,pc_42,pc_43,pc_44,pc_45,pc_46,pc_47,pc_48,pc_49,pc_50,pc_51,pc_52,pc_53,pc_54,pc_55,pc_56,pc_57,pc_58,pc_59,pc_60,pc_61,pc_62,pc_63,pc_64,pc_65,pc_66,pc_67,pc_68
0,0,abseiling,0.018095378,0.030992836,-0.067258775,-0.010681425,-0.051948592,0.027813705,-0.030320738,0.08526756,0.052973732,0.035831396,-0.064024545,0.024588909,-0.046919428,-0.040509,0.043146722,0.09380949,-0.09496208,0.042975776,-0.02875385,0.031858258,-0.024032986,-0.029757686,0.02018686,-0.02570795,0.0077016447,-0.007897563,-0.050183937,-0.010115396,0.057262875,0.11912582,-0.023788873,-0.10090122,0.058620345,0.04708953,-0.0031247472,0.02692097,0.031187875,0.049987454,-0.09624842,0.07481177,0.08670363,-0.030880162,-0.0040032365,0.008162437,-0.07671458,0.046641182,0.018405553,0.07640775,0.04556792,0.058113784,0.07372359,-0.040580947,-0.037495654,0.07212941,-0.07596329,-0.091903485,-0.015672028,0.06431205,-0.030465098,0.031573836,0.025812022,-0.0629789,-0.017527947,0.023545852,-0.03114838,0.0002686654,0.06830148,0.14677863,0.02223935
1,1,air drumming,-0.026777327,0.028919876,-0.06639922,0.047482386,0.040454164,-0.0018681064,-0.0034672692,-0.054607034,-0.013941012,-0.0017936267,0.02944035,-0.024235405,-0.022644471,-0.00856958,0.00991166,-0.036082275,-0.044405017,0.023183355,0.102609664,0.060991097,0.0036913846,-0.027325923,0.01720947,0.05245179,-0.04951689,0.029540803,0.0056670867,-0.0022013173,-0.07485012,-0.010832503,-0.05196689,0.028798904,0.11672744,0.044297785,0.012354004,-0.022251569,-0.0905909,0.055699363,0.03517755,0.05152521,-0.008350074,-0.08422068,-0.06875558,-0.06502987,0.026485024,0.03598834,-0.04316533,0.0013763895,-0.02050471,0.013169214,-0.07998081,0.027981,-0.026559383,-0.018534403,-0.11221268,0.041865665,0.009224648,0.005397887,-0.06695349,0.022271771,0.024629243,0.013668214,-0.04318717,-0.03912468,0.057244524,0.030863263,0.14753507,0.06226568,0.038996007
2,2,answering questions,0.05652356,-0.028386533,-0.010768354,0.12028247,0.0484671,0.010722898,0.043496303,0.09759988,0.023264833,0.010685533,-0.0069088936,0.043481145,-0.045138843,-0.03368885,-0.018165313,-0.12053068,-0.012990713,0.002522014,-0.013123594,0.016149975,0.0026982184,0.015416415,0.04998759,-0.05965948,-0.03169267,-0.015568084,-0.05499091,0.034340512,0.027522728,0.017904192,0.027916491,0.008903854,0.012712896,0.005989503,-0.051553346,-0.01086292,0.014384588,-0.07225185,-0.07863523,0.017621225,0.0067097098,0.10181589,-0.044081174,0.09879212,-0.06827904,-0.0046010287,-0.009368164,-0.048656467,0.0016702688,0.06824542,-0.069443226,0.018482737,0.04043546,-0.03723911,-0.044341497,0.0075110774,0.073095255,0.06231321,-0.042583764,0.011373342,-0.04728042,0.023128381,-0.06132766,0.013938524,0.0045953286,0.03981793,0.02726481,0.014218453,-0.0027212081
3,3,applauding,-0.10650671,-0.0028041601,-0.064228535,0.044934507,-0.015800305,-0.034844708,-0.00090474635,0.03691989,0.012971476,0.034624748,0.022394449,-0.052670833,-0.02811841,0.05343637,0.01704207,-0.013911173,-0.00046680868,0.026726596,-0.07112971,-0.028650265,-0.04785767,0.07578036,-0.0077418983,-0.09467535,0.034623343,0.012636451,-0.029697567,-0.050571013,0.016137995,-0.04802633,0.036659807,-0.043142617,-0.022771537,-0.001145225,-0.07982525,-0.0006342828,-0.057895623,-0.0007811375,-0.04282359,-0.02208056,0.038451307,0.018371524,0.02258795,0.025330791,-0.011296734,0.059020028,0.02463904,0.003018804,-0.060538158,-0.01023588,0.09244178,0.014000029,0.08038611,-0.05813676,0.0024240594,0.0371654,-0.047921814,0.051945627,0.035049874,0.10196332,-0.031104043,-0.056235038,-0.047794197,-0.013880726,-0.032425765,0.024841862,-0.0014297888,-0.017609034,0.000166049
4,4,applying cream,0.0019130575,-0.057614684,0.031874776,-0.041232266,-0.004285276,0.052131873,-0.104283124,-0.03375327,-0.045023214,0.019478604,-0.036344387,-0.007914953,-0.07489793,-0.0011016876,0.00021064281,0.003197968,0.0048244894,0.0046341866,-0.044384424,-0.0391989,0.0023184232,0.0558676,-0.008645242,-0.017563455,0.0832446,-0.0074984524,0.06965413,-0.009269586,0.01277028,0.04107572,-0.047091536,-0.07626711,-0.035548177,-0.03156603,0.0039441995,0.0030873492,-0.08520138,-0.062363334,0.069300786,-0.047695853,0.12370985,0.0132305045,-0.009045135,0.037035733,-0.012748942,-0.014059227,-0.017864145,0.021549542,0.009167939,0.023489494,-0.019448712,0.04803931,-0.039424397,0.037025575,-0.0338472,-0.058097135,-0.035293646,0.042210635,-0.014791188,-0.02229411,0.0031292606,-0.10695316,-0.00648603,0.019207055,-0.009264622,0.07903314,0.056729164,-0.06593513,-0.06997321
5,5,archery,-0.031702977,-0.054074436,0.05607468,0.04236243,0.039031446,-0.03984724,0.09429285,0.08580881,0.0041268617,-0.06941307,-0.063983634,0.07589106,-0.015021304,-0.014974164,-0.10065917,-0.0025081784,0.018844679,-0.024725314,0.04131864,-0.039085492,-0.06554524,-0.0747186,-0.023872465,0.024467323,0.023157824,0.06106025,0.028041169,-0.020428695,-0.0777252,-0.0036725998,0.015090115,-0.04289545,0.00022318959,0.01795217,0.045015384,-0.0028585196,0.053357065,0.045395,-0.048245057,0.02337604,0.0049179345,-0.024737438,-0.008921353,-0.057629712,-0.0010808557,0.04951215,0.016831394,-0.056638703,-0.05245178,-0.07859538,-0.01298207,-0.00092497095,0.060737584,0.029475551,-0.07034205,0.12413413,0.052869685,-0.032196447,0.0896035,-0.03211596,-0.053773545,-0.039040916,-0.15195346,0.011316079,0.014800906,-0.0060167196,-0.025178418,0.04077514,-0.068056144
6,6,arm wrestling,-0.040489897,-0.008519391,-0.031204686,0.008998528,0.056135416,0.06742115,-0.029625623,-0.03724783,0.045978144,0.05332563,0.034503102,0.0011639372,0.010237724,0.014810823,-0.012497634,0.047666743,-0.009130374,0.055861562,0.060559005,-0.021827247,-0.013401991,-0.09194485,0.049966946,0.06045487,-0.07120864,-0.119671755,0.026188564,0.033364855,-0.030626629,-0.03409475,0.029145302,0.048378,0.0026950538,-0.061566025,0.023721829,0.062664464,-0.030050334,0.035264913,-0.076887675,-0.042030863,-0.09834796,0.09741193,-0.047879215,-0.08571544,0.008614965,-0.022061795,0.01825444,-0.026480526,0.015279368,0.030300122,0.03069755,-0.01231461,-0.004918717,0.07261914,0.04332748,0.03419306,0.004053265,-0.051102415,0.039558835,0.092105106,-0.042226948,-0.037806824,0.12429716,-0.07400152,-0.04961923,-0.06845897,-0.023420881,0.03397903,0.018735368
7,7,arranging flowers,-0.058189362,0.02206523,0.02306562,0.025751308,-0.007190138,-0.047483128,0.057473227,-0.028349161,0.012425929,-0.02604641,-0.014352876,0.039310873,-0.001437284,0.03431154,0.0146033615,0.09889582,-0.016124308,0.030882195,-0.026930444,-0.008100182,0.05566863,0.04543391,-0.0127426125,-0.044358607,-0.07441841,0.035728816,0.09173983,-0.04698467,-0.013891239,0.12832503,0.032112036,0.03586552,0.010971203,-0.027038034,-0.009237471,-5.316641e-05,0.008671217,-0.010104291,0.023879483,-0.10271692,0.019631099,0.13955003,-0.12912367,-0.12587017,0.06870325,-0.046564143,-0.029989023,-0.020567447,-0.002730094,-0.04891815,0.117023125,-0.0024947524,-0.0074558854,0.010469273,0.026065312,0.01201807,0.011816451,-0.016894303,-0.020869462,0.00032411516,0.03367029,-0.006672181,-0.08755064,0.014216431,-0.008167474,0.040270362,0.09256635,0.021947399,-0.0017777011
8,8,assembling computer,0.07295702,-0.04901854,0.025440726,-0.027437747,0.027782772,-0.07405615,-0.05967237,-0.07445182,0.034876168,-0.052788123,0.033015102,-0.035498608,0.02946458,0.035623357,0.01048639,0.005456466,-0.009079255,0.044645794,0.02921722,0.04435672,0.020028908,-0.024582166,0.020371778,0.056021392,0.0042425925,0.0967081,0.025119446,-0.028195973,-0.0504618,0.0456108,-0.03623555,-0.067145705,-0.043557987,0.0021597594,0.05229957,0.0034564417,0.007976634,0.048540916,0.065769374,0.031656038,-0.04399442,-0.049279317,0.060801547,0.04275834,-0.038342737,0.0033958154,0.043863095,0.019223474,0.024401192,-0.05923345,0.055285566,0.050899714,0.035297662,0.045832153,0.11014776,0.0022666454,0.09094633,-0.005805902,0.046248414,-0.058496438,0.014396703,0.07166293,-0.04117331,0.030708468,-0.0060878545,0.035088506,0.022272967,0.06911442,0.02485681
9,9,auctioning,-0.033454113,-0.012256568,-0.01363046,0.0155799985,-0.029186808,0.014137909,-0.0057648346,-0.032535538,0.09465352,0.06535216,0.016549401,0.003276877,0.054304466,0.058508612,-0.0050617233,0.008703247,0.05338847,0.09749153,-0.051609382,0.012507158,-0.05618505,0.012236556,-0.034126554,-0.032192998,0.050043344,-0.06470756,-0.000103123486,-0.06622836,-0.033945166,-0.020920053,-0.04563849,-0.005643159,0.07084497,0.031177148,0.014442021,0.021347478,0.0015770234,-0.0036142543,-0.19107677,-0.05759111,0.043985397,0.046285994,0.06392396,0.0729479,0.01789317,0.014784261,0.06269298,-0.058267772,-0.013706163,-0.09041238,-0.060784757,0.043030184,0.01305219,-0.011815809,-0.044832256,0.020482283,-0.003833522,0.033246256,0.03927185,0.043831017,0.051767353,0.048172113,0.003083434,-0.00562747,-0.051565193,-0.011126021,-0.0072255954,0.031235978,0.005868895
